Trial: ,12
Threshold: ,0.0
Maximum EMG: ,0.07269271952410658
Success: ,True

EMG Time,Raw EMG,Filtered EMG,Force Time,Raw Force (V),Filtered Force (N)
0.0,samples,2.1079718661277944e-07,0.467,0.7559999823570251,-0.029246256572018868
0.46551699999999996,time,2.1962237259058825e-07,0.932,0.7620000243186951,-0.0170708851251664
0.9310339999999999,value,2.2804592189595623e-07,1.398,0.7820000052452087,0.02565099150724978
1.396552,,2.3602046570828573e-07,1.862,0.7670000195503235,-0.007807105872822472
1.862069,,2.4349818980138266e-07,2.328,0.7820000052452087,0.024191370528362482
2.327586,,2.5043098572628287e-07,2.795,0.7739999890327454,0.006199659552149572
2.793103,,2.5677060957196284e-07,3.261,0.7620000243186951,-0.02037018184747528
3.258621,,2.624688480653525e-07,3.724,0.7789999842643738,0.016390400070032334
3.724138,,2.674776917356059e-07,4.186,0.7599999904632568,-0.025121373018447624
4.189654999999999,,2.717495148305278e-07,4.654,0.7590000033378601,-0.027254722439484916
4.655172,,2.7523726163550917e-07,5.117,0.781000018119812,0.020882814477000827
5.12069,,2.7789463880740573e-07,5.58,0.7620000243186951,-0.02014768391021346
5.586207,,2.796763132976153e-07,6.05,0.7739999890327454,0.006505715849059977
6.051723999999999,,2.8053811540030384e-07,6.516,0.7630000114440918,-0.01681916049873985
6.517241,,2.804372464234212e-07,6.981,0.7459999918937683,-0.05310530984379727
6.982759,,2.7933249044197494e-07,7.439,0.777999997138977,0.017450084364257247
7.448276,,2.7718442955513716e-07,7.905,0.7490000128746033,-0.044829659409907525
7.913793000000001,,2.7395566203128885e-07,8.371,0.7990000247955322,0.0650391814507214
8.379309999999998,,2.696110226882159e-07,8.836,0.777999997138977,0.0202312877483249
8.844828000000001,,2.64117804819511e-07,9.302,0.7870000004768372,0.04076154134386629
9.310345,,2.5744598294297097e-07,9.769,0.7789999842643738,0.024204457644417726
9.775862,,2.4956843561257276e-07,10.235,0.7699999809265137,0.005390949813633367
10.241379,,2.404611675026296e-07,10.698,0.7789999842643738,0.02569005257356105
10.706897,,2.3010352994114563e-07,11.161,0.7609999775886536,-0.012959544474558916
11.172414,,2.1847843903937108e-07,11.628,0.7599999904632568,-0.014715841042324396
11.637931,,2.0557259053628915e-07,12.09,0.7879999876022339,0.046551309146011584
12.103447999999998,,1.9137667045041475e-07,12.556,0.6140000224113464,-0.332437060243072
12.568966000000001,,1.7588556060702993e-07,13.019,0.7730000019073486,0.013889556950009894
13.034483,,1.59098538087001e-07,13.485,0.7760000228881836,0.020176577546963212
13.5,,1.4101946762379225e-07,13.95,0.699999988079071,-0.14581125596088435
13.965517,,1.2165698595838688e-07,14.416,0.7789999842643738,0.025741212028137908
14.431034,,1.010246771477209e-07,14.884,0.7699999809265137,0.00544061599442524
14.896552,,7.914123781110203e-08,15.349,0.777999997138977,0.022067708825384072
15.362069,,5.603063129108986e-08,15.814,0.7749999761581421,0.01464493779646129
15.827586000000002,,3.1722229700621676e-08,16.28,0.7599999904632568,-0.01897909870527429
16.293103,,6.250942826937088e-09,16.743,0.7749999761581421,0.012727555070768025
16.758621,,2.0342667134759288e-08,17.205,0.7680000066757202,-0.003494438065508671
17.224138,,4.8012286038808924e-08,17.673,0.75,-0.04365030660319987
17.689655,,7.670576444864264e-08,18.135,0.828000009059906,0.12540540898990626
18.155172,,1.0636505149512375e-07,18.599,0.7570000290870667,-0.0300677419629844
18.62069,,1.3692614691220733e-07,19.069,0.7820000052452087,0.023723053520519084
19.086207,,1.6831907220590398e-07,19.534,0.7590000033378601,-0.02692727396433174
19.551724,,2.004678618856286e-07,19.998,0.6830000281333923,-0.19289677720891613
20.017241000000002,,2.332905756556334e-07,20.464,0.7620000243186951,-0.021015861485909487
20.482758999999998,,2.666993324282882e-07,20.929,0.7639999985694885,-0.016721919100502285
20.948276,,3.0060036698041203e-07,21.394,0.765999972820282,-0.012254835852655542
21.413793000000002,,3.348941100286208e-07,21.854,0.7559999823570251,-0.03376125997281317
21.87931,,3.6947529244969844e-07,22.319,0.7770000100135803,0.012432610831099459
22.344828,,4.042330743172952e-07,22.784,0.7739999890327454,0.006488288182046451
22.810344999999998,,4.3905119936680085e-07,23.25,0.8600000143051147,0.19457736649206647
23.275862,,4.738081754360323e-07,23.718,0.7689999938011169,-0.002841717656859862
23.741379,,5.083774813604452e-07,24.18,0.7609999775886536,-0.01934778819708496
24.206897,,5.426278007279618e-07,24.65,0.7580000162124634,-0.024905986136130962
24.672414,,5.764232828202719e-07,25.113,0.7820000052452087,0.0283836151312286
25.137931,,6.096238309846804e-07,25.577,0.7630000114440918,-0.012014944456873195
25.603448,,6.420854185933523e-07,26.039,0.781000018119812,0.02815927769662423
26.068966,,6.736604326552498e-07,26.505,0.4050000011920929,-0.7901282488137755
26.534483,,7.041980450503147e-07,26.97,0.7580000162124634,-0.02028895919302638
27.0,,7.335446112556886e-07,27.436,0.777999997138977,0.023934199359248766
27.465517,,7.615440963301513e-07,27.902,0.7599999904632568,-0.014769953479612838
27.931034,,7.880385278157035e-07,28.368,0.777999997138977,0.024803081074586213
28.396552,,8.128684751045551e-07,28.832,0.7739999890327454,0.01628094784273992
28.862069,,8.358735547059432e-07,29.298,0.7739999890327454,0.0163028652570311
29.327586,,8.568929607304663e-07,29.761,0.7630000114440918,-0.007811881577872923
29.793103000000002,,8.757660197902695e-07,30.224,0.777999997138977,0.024550953275311826
30.258620999999998,,8.923327693917778e-07,30.692,0.7649999856948853,-0.004245922201485161
30.724138,,9.064345587740613e-07,31.154,0.7580000162124634,-0.020114325704768635
31.189655000000002,,9.17914671020705e-07,31.624,0.7559999823570251,-0.025214943675471134
31.655172000000004,,9.266189651466112e-07,32.087,0.7770000100135803,0.019690948289043397
32.12069,,9.323965367338842e-07,32.553,0.7649999856948853,-0.007375008981492393
32.586207,,9.351003955632579e-07,33.016,0.7200000286102295,-0.1063853946302289
33.051724,,9.34588158559857e-07,33.481,0.777999997138977,0.018984549703585464
33.517241000000006,,9.307227562448918e-07,33.947,0.7590000033378601,-0.023390549570730723
33.982759,,9.233731507586487e-07,34.413,0.7760000228881836,0.012707285805824454
34.448276,,9.124150633953408e-07,34.88,0.7870000004768372,0.03580387411837789
34.913793,,8.977317094675455e-07,35.346,0.7739999890327454,0.006710688497316628
35.37931,,8.792145381975763e-07,35.811,0.7720000147819519,0.0017037481673625597
35.844828,,8.567639752157784e-07,36.269,0.7739999890327454,0.005551887919383725
36.310345,,8.302901651319317e-07,36.739,0.7870000004768372,0.033521685450423354
36.775862,,7.997137115362504e-07,37.201,0.7630000114440918,-0.018951254295520702
37.241378999999995,,7.649664116814684e-07,37.669,0.7609999775886536,-0.02332175461551157
37.706897000000005,,7.259919829977486e-07,38.132,0.7960000038146973,0.05309069221300429
38.172414,,6.82746778498262e-07,38.595,0.7599999904632568,-0.02501251066206614
38.637931,,6.35200488045804e-07,39.065,0.7789999842643738,0.016868190618351292
39.103448,,5.833368223703756e-07,39.53,0.7440000176429749,-0.0587553634452005
39.568965999999996,,5.271541766548115e-07,39.989,0.7599999904632568,-0.023145062844438145
40.034483,,4.666662704409035e-07,40.455,0.777999997138977,0.016922859288991662
40.5,,4.019027605526067e-07,40.921,0.7559999823570251,-0.030080368867755135
40.965517,,3.3290982368642547e-07,41.386,0.777999997138977,0.018823600284679214
41.431034,,2.597507052825094e-07,41.851,0.7770000100135803,0.017635946307163145
41.896552,,1.825062312639197e-07,42.317,0.7490000128746033,-0.04238828103379622
42.362069000000005,,1.0127527921649042e-07,42.784,0.7870000004768372,0.04133513078145602
42.827586000000004,,1.6175205578242655e-08,43.25,0.7590000033378601,-0.018803564871983647
43.293103,,7.265777458408152e-08,43.713,0.7870000004768372,0.04296465162570008
43.758621,,1.650682586126157e-07,44.176,0.7739999890327454,0.015287698485301395
44.224138,,2.6088138147712897e-07,44.639,0.777999997138977,0.02450766990588165
44.689655,,3.5990259849428453e-07,45.109,0.777999997138977,0.024857283929923733
45.155172,,4.619175288051438e-07,45.569,0.7559999823570251,-0.022890269845353414
45.620689999999996,,5.666918627928057e-07,46.039,0.7820000052452087,0.033764532629358
46.086206999999995,,6.739713365315941e-07,46.505,0.7590000033378601,-0.01650772061510919
